number,short_description,priority,state,assignment_group,assigned_to,category,caller_id,opened_at,closed_at,sys_created_on
INC001001,Email server unresponsive on domain controller,2,3,Service Desk,john.smith,Infrastructure,jane.doe,2026-07-01 08:15:00,,2026-07-01 08:15:00
INC001002,Password reset request for new starter,3,7,Service Desk,auto,User Account,becky.jones,2026-07-01 09:30:00,2026-07-01 09:35:00,2026-07-01 09:30:00
INC001003,Database connection timeout on finance app,1,2,DBA Team,mike.wilson,Database,alex.brown,2026-07-01 10:00:00,,2026-07-01 10:00:00
INC001004,Printer not responding on floor 3,4,7,Service Desk,auto,Hardware,tom.hardy,2026-07-01 10:45:00,2026-07-01 11:15:00,2026-07-01 10:45:00
INC001005,VPN connectivity loss for remote user,2,3,Network Team,sarah.lee,Network,paul.martin,2026-07-01 11:30:00,,2026-07-01 11:30:00
INC001006,Software licence expiry notification,3,1,ITAM Team,auto,Software Compliance,lisa.ray,2026-07-01 12:00:00,,2026-07-01 12:00:00
INC001007,CRM application crash on save,1,3,App Support,rachel.green,Application,mark.taylor,2026-07-01 13:20:00,,2026-07-01 13:20:00
INC001008,New employee laptop setup request,4,10,Service Desk,auto,Hardware,emma.white,2026-07-01 14:00:00,2026-07-02 10:00:00,2026-07-01 14:00:00
INC001009,Active Directory sync failure,2,2,Infra Team,james.black,Infrastructure,david.clark,2026-07-01 15:10:00,,2026-07-01 15:10:00
INC001010,Network switch port down on rack 4,2,2,Network Team,sarah.lee,Network,ops.centre,2026-07-01 16:00:00,,2026-07-01 16:00:00
INC001011,Backup job failure notification,3,1,Infra Team,auto,Infrastructure,monitoring.sys,2026-07-02 00:30:00,,2026-07-02 00:30:00
INC001012,Shared drive permissions incorrect,3,3,Service Desk,john.smith,User Account,lily.adams,2026-07-02 09:00:00,,2026-07-02 09:00:00
INC001013,Security patch deployment required,2,1,Security Team,thomas.grey,Security,ciso.office,2026-07-02 10:30:00,,2026-07-02 10:30:00
INC001014,VoIP phone not registering,3,3,Telecoms Team,anna.bell,Telecoms,reception.desk,2026-07-02 11:15:00,,2026-07-02 11:15:00
INC001015,API gateway rate limit exceeded,2,2,App Support,rachel.green,Application,dev.team,2026-07-02 12:45:00,,2026-07-02 12:45:00
